insert into classes (id, teacher_id, name, type, start_date, end_date, max_student, fee, goal, level) values 
  (77,39,"Bac","offline","2023-06-11","2023-08-15",24,100000,"仕事に行く","A1"),
  (78,40,"Long","offline","2023-06-17","2023-08-16",25,100000,"勉強","A2"),
  (79,40,"Thuy","offline","2023-06-14","2023-08-15",25,120000,"試験に受ける","B1"),
  (80,41,"Phuc","offline","2023-06-07","2023-08-17",27,150000,"基本的なコミュニケーション","B2"),
  (81,41,"Thu","offline","2023-06-23","2023-08-16",26,150000,"仕事に行く","C1"),
  (82,42,"Minh","offline","2023-06-05","2023-08-17",28,80000,"勉強","C2"),
  (83,42,"Anh","offline","2023-07-10","2023-08-15",20,100000,"試験に受ける","A1"),
  (84,43,"Trung","offline","2023-06-06","2023-08-16",21,80000,"基本的なコミュニケーション","A2"),
  (85,43,"Phuong","offline","2023-06-17","2023-08-17",20,120000,"仕事に行く","B1"),
  (86,44,"Hieu","offline","2023-06-18","2023-08-17",28,80000,"勉強","B2"),
  (87,45,"Bac","offline","2023-06-23","2023-08-17",22,100000,"試験に受ける","C1"),
  (88,45,"Long","offline","2023-07-10","2023-08-17",30,100000,"基本的なコミュニケーション","C2"),
  (89,46,"Thuy","offline","2023-06-27","2023-08-17",25,120000,"仕事に行く","A1"),
  (90,46,"Phuc","offline","2023-07-08","2023-08-17",24,120000,"勉強","A2"),
  (91,47,"Thu","offline","2023-06-23","2023-08-17",29,80000,"試験に受ける","B1"),
  (92,47,"Minh","offline","2023-06-29","2023-08-16",27,100000,"基本的なコミュニケーション","B2"),
  (93,48,"Anh","offline","2023-07-07","2023-08-15",24,100000,"仕事に行く","C1"),
  (94,48,"Trung","offline","2023-06-20","2023-08-17",21,100000,"勉強","C2"),
  (95,48,"Phuong","offline","2023-06-09","2023-08-17",24,150000,"試験に受ける","A1"),
  (96,48,"Hieu","offline","2023-06-23","2023-08-17",21,120000,"基本的なコミュニケーション","A2"),
  (97,49,"Bac","offline","2023-06-13","2023-08-16",27,100000,"仕事に行く","B1"),
  (98,49,"Long","offline","2023-07-09","2023-08-16",23,120000,"勉強","B2"),
  (99,49,"Thuy","offline","2023-06-17","2023-08-16",26,150000,"試験に受ける","C1"),
  (100,50,"Phuc","offline","2023-07-06","2023-08-16",20,100000,"基本的なコミュニケーション","C2"),
  (101,50,"Phuc","offline","2023-06-20","2023-08-16",26,100000,"基本的なコミュニケーション","C2");
